CUST_NO,AGE,CHILDREN_CNT,CUST_START_DT,EDU_CODE,GENDER_CODE,INCOME_RANGE_CODE,WORK_MTHS,CreditCard_b,ForEx_b,Trust_b,Loan_b,cc_BuyFreq,fx_BuyFreq,ln_BuyFreq,wm_BuyFreq
OGMWH3NPW4BKLRBU,4.0,0.0,5418.0,3.0,1.0,2.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
THE2EIIGHAUUINDO,4.0,0.0,5903.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
N-_SFRR3-YRF2HRO,1.0,0.0,9221.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
QI0VWKJE-M5EPDAO,2.0,0.0,8843.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWD6W0QA58T8GFLI,4.0,0.0,7048.0,4.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
I_GRJRKLKACIKHHG,4.0,0.0,1006.0,3.0,1.0,4.0,2.0,26.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
_0SIAALKRYHUOZB8,3.0,0.0,7315.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
OZTRBMKCEBVFY5VK,4.0,0.0,9295.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXSPTOBSFJTGL7A4,4.0,0.0,57.0,5.0,0.0,3.0,1.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0
YIV5SSPIK27POQII,4.0,0.0,7225.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z2WUWZAXWNB7RTD0,4.0,0.0,2785.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
V5BMWHXE80RLYUXS,4.0,0.0,3957.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VM93LUCFLX2NB6-M,4.0,0.0,7863.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIIWAQVDBJR2Z6KY,4.0,0.0,5284.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
N-OD5QT0XI7VO3IO,4.0,0.0,5103.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KH9GH9KZ7I0VL75Q,4.0,0.0,2500.0,4.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
3D7LXIDNHQFKZPES,4.0,0.0,7258.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZQXWCNQDFJ0MTJV4,2.0,0.0,6946.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TA1G2N7AT5FXL1PY,2.0,0.0,7462.0,5.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KQRCRAYB2Z5LMLDO,4.0,0.0,127.0,3.0,1.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,1.0,0.0,0.0
F-JFA4OE6XISFIH4,2.0,0.0,9016.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
SNEQQ8X7VXM1MTD8,2.0,0.0,6967.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZRMMBX2LNQHGOESK,2.0,0.0,8860.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0
U0HPEF9HRQM_1YUG,2.0,0.0,6845.0,3.0,1.0,1.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTNE_IW9NOAMRXRS,2.0,0.0,7328.0,4.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BQZZWWXLCFMUZLGK,2.0,0.0,3816.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EJOPREI-VQ2Z4OE4,2.0,0.0,9056.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
QRW8JMTGVEFVNC5G,2.0,0.0,8023.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EKRA-_4Z6Q_5MJIA,2.0,0.0,5437.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IH7DZ3XTRDXGQOMM,2.0,0.0,7986.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HQEIZ6X213YICSXK,2.0,0.0,6502.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGX_6ASFHAV-QYW4,2.0,0.0,5794.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JSHP2SZJRPBZYKTE,2.0,0.0,7443.0,3.0,1.0,1.0,1.0,5.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0
O9KMIERN-BIBERYU,3.0,1.0,2337.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
DREBAICGNKXDBRW0,2.0,0.0,7163.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0
IDDEBM50CMDBY9DC,2.0,0.0,6334.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSI16DPXJFIHVJXU,2.0,0.0,7596.0,2.0,0.0,2.0,1.0,68.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ZVW7-FRRZGFJUSK0,2.0,0.0,4489.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
INAJDTP0ZQEI01TG,2.0,0.0,3786.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JI-WAKZXB0DBMXFI,2.0,0.0,5789.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QJUKBQBX4LNGTBDW,2.0,0.0,5244.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
GT8EGSR1R71EFVIU,2.0,0.0,6930.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Y-5TMFI3WH9FJUNM,2.0,0.0,5931.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
2FH0HH9QZCT2K4YM,2.0,0.0,7646.0,3.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZCKF0BMBWCQVYUW,2.0,0.0,6322.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-88VSDMSEKLG3IS,2.0,0.0,6826.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OL7Z6K-PRPLTVK0Y,2.0,0.0,7995.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL37EFN0Q9LY4LJ8,2.0,0.0,6111.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-ZK7TKV6XNPHBPYI,2.0,0.0,6852.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6PIZ3G4XES2SZO9E,2.0,0.0,6336.0,3.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4R6X0NTTCIAYBBAW,2.0,0.0,8094.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
F1NJMRZQ6MZOCU3W,2.0,0.0,9508.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GW_69-ZBRZPMCZ7E,2.0,0.0,3421.0,3.0,0.0,2.0,1.0,14.0,11.0,0.0,4.0,1.0,1.0,0.0,0.0
ANRX7GVUOPVH_TGK,2.0,0.0,7394.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4RXNDTHN0B1XGIVA,2.0,0.0,6202.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
ZHHFA4O9HBM93-SM,2.0,0.0,5661.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
U8D8FMH6Y1KNRHYA,2.0,0.0,6144.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLML43NVF6APAC6M,2.0,0.0,8149.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4T6VBLAT9TN3EWXM,2.0,0.0,5032.0,3.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2JHTVJV7ZH4-DTG4,2.0,0.0,3214.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IKLVCXKJTNYDMWZM,2.0,0.0,7216.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_YQ2C82JLSQOREBE,4.0,0.0,849.0,4.0,0.0,4.0,1.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0
PCM6C-K3ZUALYDMO,4.0,0.0,4968.0,3.0,1.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M0OSO-GZ2LSI3_DS,4.0,0.0,6776.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GZ65UFGDJYTQDVLK,4.0,0.0,4065.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPDJFF59OGPKDBPE,4.0,0.0,3737.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45XB9AECPVPS9AKM,2.0,0.0,8666.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRAPEIFZQPXMAW8O,1.0,0.0,9479.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VIY1JURWFV8KNLV0,2.0,0.0,7720.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDFKGIX9C_CMRBA0,2.0,0.0,9163.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMHKC1X0YZ7G0EG4,2.0,0.0,8643.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
BJTI4JVDDYDJ1EPK,2.0,0.0,9316.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BQYSQRLXEJAM903K,2.0,0.0,7649.0,6.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8JHTJBWCHGYZEKIO,2.0,0.0,8910.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5PAVZD0RWQX0T2ZI,2.0,0.0,7176.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0
ZSISQNXL4LRLC9JC,2.0,0.0,9463.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
SBQ6PW22QYGHEDQ4,1.0,0.0,8686.0,5.0,1.0,1.0,1.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0
2WBKJLKBEEBON3GG,2.0,0.0,8330.0,3.0,1.0,1.0,1.0,14.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
TXAJBIIOG31WTDJ8,2.0,0.0,8745.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2RMEKTH4BEIL8VQS,2.0,0.0,8527.0,3.0,1.0,1.0,1.0,3.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
J6HDXVPHOROHCMCC,2.0,0.0,8204.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-GEXQTTBKRBXRLYA,2.0,0.0,7387.0,2.0,1.0,1.0,1.0,1.0,63.0,0.0,1.0,1.0,3.0,0.0,0.0
Y9OH-QIQFSBKD2DK,2.0,0.0,3965.0,2.0,1.0,2.0,1.0,3.0,39.0,0.0,0.0,1.0,3.0,0.0,0.0
8CKJNGTDLW8YMSIM,2.0,0.0,6978.0,2.0,1.0,2.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R8WVVK6V1JLBWIZM,2.0,0.0,7232.0,6.0,1.0,1.0,1.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0
FISTKUPO05ZEIW1E,2.0,0.0,8842.0,2.0,1.0,2.0,1.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
GTWMOXFQCQKPUP_W,2.0,0.0,6582.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
G4CSOCXISD0FHVLY,2.0,0.0,7156.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N4Z2BYVQVSVGMBSY,2.0,0.0,4593.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
UACIXGU8UZUWPFQY,2.0,0.0,4573.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0
VCOWHNXM0PBSVPNO,2.0,0.0,6159.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3TJQZIPKQWEJ5X-S,2.0,0.0,5907.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X4FAJCTIV5_PNHHK,2.0,0.0,7000.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
RFIV-DIXKIN10GBY,1.0,0.0,7677.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
S0ANRARIKUUWMTLK,2.0,0.0,7846.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
EHB5EOQO8YFIHIMO,2.0,0.0,7247.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FXBJ1NLZXNHF6VP4,1.0,0.0,6139.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
HWQ7LAUBNY37KIHE,2.0,0.0,6224.0,3.0,0.0,2.0,1.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0
V30YHIEVIGNBXD5C,2.0,0.0,8175.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
QRXY5HINB_VHZBRC,2.0,0.0,7238.0,3.0,0.0,1.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_GTDFYFYFO-OO7NS,2.0,0.0,6371.0,3.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
QAZYYMICEA-L12CG,1.0,0.0,8177.0,3.0,0.0,1.0,1.0,0.0,95.0,0.0,0.0,0.0,1.0,0.0,0.0
DP9ZYX0VPVYCZJ4E,2.0,0.0,4767.0,3.0,0.0,1.0,1.0,1.0,74.0,0.0,0.0,0.0,25.0,0.0,0.0
QMXBNKODGZ_6VPDE,2.0,0.0,3780.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSWJWPV-LZPLUIFC,2.0,0.0,8178.0,3.0,0.0,1.0,1.0,0.0,10.0,0.0,1.0,0.0,8.0,0.0,0.0
XK7XV6Y2Y5IR6TBA,2.0,0.0,5676.0,3.0,0.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND7H1SDIQLO7EVWE,2.0,0.0,7778.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
WLKUIPUVSIZFRGCC,2.0,0.0,8597.0,3.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUUBEPVHYSB-SXJU,3.0,0.0,7260.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTQS9SS-NCMPAIQ,2.0,0.0,7320.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAC2WEYYBI94GHNQ,2.0,0.0,6154.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3BI62WGWYLOWSJU,2.0,0.0,160.0,3.0,0.0,2.0,1.0,3.0,272.0,0.0,0.0,0.0,3.0,0.0,3.0
5A92J9ARNTX4EZIG,4.0,0.0,9161.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
PGVSRBLCOEXQKKWQ,4.0,0.0,2022.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
